TITLE,DIRECTED BY,RELEASE DATE
Wings,['William A. Wellman'],"['August\xa012,\xa01927\xa0(1927-08-12) (New York City, premiere)', 'January\xa015,\xa01928\xa0(1928-01-15) (Los Angeles)', 'January\xa05,\xa01929\xa0(1929-01-05) (United States)']"
All Quiet on the Western Front,['Lewis Milestone'],[]
Cimarron,['Wesley Ruggles'],"['January\xa026,\xa01931\xa0(1931-01-26) (Premiere-New York City)[1]', 'February\xa09,\xa01931\xa0(1931-02-09) (US)[1]']"
Grand Hotel,['Edmund Goulding'],"['April\xa012,\xa01932\xa0(1932-04-12) (New York City, premiere)', 'April\xa029,\xa01932\xa0(1932-04-29) (Los Angeles)', 'September\xa011,\xa01932\xa0(1932-09-11) (US)']"
Cavalcade,['Frank Lloyd'],[]
Mutiny on the Bounty,['Frank Lloyd'],[]
You Can't Take It with You,['Frank Capra'],"[""August\xa023,\xa01938\xa0(1938-08-23) (int'l press preview)[1]"", 'September\xa01,\xa01938\xa0(1938-09-01) (New York City)[2]', 'September\xa029,\xa01938\xa0(1938-09-29) (U.S.)']"
Gone with the Wind,['Victor Fleming'],[]
Rebecca,['Alfred Hitchcock'],"['March\xa021,\xa01940\xa0(1940-03-21) (Miami)', 'April\xa012,\xa01940\xa0(1940-04-12) (United States)']"
How Green Was My Valley,"['John Ford', 'Directed by John Ford (1971 documentary)', 'Five Came Back (2017 documentary)']",[]
Casablanca,['Michael Curtiz'],"['November\xa026,\xa01942\xa0(1942-11-26) (Hollywood Theatre)', 'January\xa023,\xa01943\xa0(1943-01-23) (United States)']"
The Lost Weekend,['Billy Wilder'],[]
Hamlet,['Laurence Olivier'],[]
All the King's Men,['Robert Rossen'],"['November\xa08,\xa01949\xa0(1949-11-08) (NYC)', 'January\xa01950\xa0(1950-01) (US)']"
An American in Paris,['Vincente Minnelli'],"['October\xa04,\xa01951\xa0(1951-10-04) (New York)[2]', 'January\xa011,\xa01952\xa0(1952-01-11) (USA)']"
The Greatest Show on Earth,['Cecil B. DeMille'],"['January\xa010,\xa01952\xa0(1952-01-10) (New York City, premiere)']"
Marty,['Delbert Mann'],[]
Around the World in 80 Days,['Michael Anderson'],"['October\xa017,\xa01956\xa0(1956-10-17) (New York City)', 'December\xa022,\xa01956\xa0(1956-12-22) (Los Angeles)']"
Gigi,['Vincente Minnelli'],[]
Ben-Hur,['William Wyler'],[]
West Side Story,"['Robert Wise', 'Jerome Robbins']",[]
Lawrence of Arabia,['David Lean'],[]
Tom Jones,['Tony Richardson'],[]
My Fair Lady,['George Cukor'],[]
The Sound of Music,['Robert Wise'],[]
A Man for All Seasons,['Fred Zinnemann'],[]
In the Heat of the Night,['Norman Jewison'],[]
Oliver!,['Carol Reed'],[]
Patton,['Franklin J. Schaffner'],"['February\xa05,\xa01970\xa0(1970-02-05) (New York City-Premiere)', 'April\xa02,\xa01970\xa0(1970-04-02) (USA)']"
The French Connection,['William Friedkin'],[]
One Flew Over the Cuckoo's Nest,['Miloš Forman'],[]
Gandhi,['Richard Attenborough'],"['30\xa0November\xa01982\xa0(1982-11-30) (New Delhi)', '3\xa0December\xa01982\xa0(1982-12-03) (United Kingdom)']"
Amadeus,['Miloš Forman'],"['September\xa06,\xa01984\xa0(1984-09-06) (Los Angeles)', 'September\xa019,\xa01984\xa0(1984-09-19) (United States)']"
Out of Africa,['Sydney Pollack'],[]
Platoon,['Oliver Stone'],[]
The Silence of the Lambs,['Jonathan Demme'],"['January\xa030,\xa01991\xa0(1991-01-30) (New York City)', 'February\xa014,\xa01991\xa0(1991-02-14) (United States)']"
The English Patient,['Anthony Minghella'],[]
Titanic,['James Cameron'],"['November\xa01,\xa01997\xa0(1997-11-01) (Tokyo)', 'December\xa019,\xa01997\xa0(1997-12-19) (United States)']"
American Beauty,['Sam Mendes'],"[""September\xa08,\xa01999\xa0(1999-09-08) (Grauman's Egyptian Theatre)"", 'September\xa015,\xa01999\xa0(1999-09-15) (United States)']"
Gladiator,['Ridley Scott'],"['May\xa01,\xa02000\xa0(2000-05-01) (Samuel Goldwyn Theater)', 'May\xa05,\xa02000\xa0(2000-05-05) (United States)', 'May\xa012,\xa02000\xa0(2000-05-12) (United Kingdom)']"
A Beautiful Mind,['Ron Howard'],"['December\xa013,\xa02001\xa0(2001-12-13) (Beverly Hills premiere)', 'December\xa021,\xa02001\xa0(2001-12-21) (United States)']"
Chicago,['Rob Marshall'],[]
Crash,['Paul Haggis'],"['September\xa010,\xa02004\xa0(2004-09-10) (TIFF)', 'May\xa06,\xa02005\xa0(2005-05-06) (United States)']"
The Artist,['Michel Hazanavicius'],"['15\xa0May\xa02011\xa0(2011-05-15) (Cannes)', '12\xa0October\xa02011\xa0(2011-10-12) (France)']"
Argo,['Ben Affleck'],"['August\xa031,\xa02012\xa0(2012-08-31) (Telluride)', 'October\xa012,\xa02012\xa0(2012-10-12) (United States)']"
12 Years a Slave,['Steve McQueen'],"['August\xa030,\xa02013\xa0(2013-08-30) (Telluride Film Festival)', 'November\xa08,\xa02013\xa0(2013-11-08) (United States)', 'January\xa010,\xa02014\xa0(2014-01-10) (United Kingdom)']"
Birdman,['Alejandro González Iñárritu'],"['August\xa027,\xa02014\xa0(2014-08-27) (Venice)', 'October\xa017,\xa02014\xa0(2014-10-17) (United States)']"
Spotlight,['Tom McCarthy'],"['September\xa03,\xa02015\xa0(2015-09-03) (Venice)', 'November\xa06,\xa02015\xa0(2015-11-06) (United States)']"
Moonlight,['Barry Jenkins'],"['September\xa02,\xa02016\xa0(2016-09-02) (Telluride)', 'October\xa021,\xa02016\xa0(2016-10-21) (United States)']"
Green Book,['Peter Farrelly'],"['September\xa011,\xa02018\xa0(2018-09-11) (TIFF)', 'November\xa016,\xa02018\xa0(2018-11-16) (United States)']"
Parasite,['Bong Joon-ho'],"['21\xa0May\xa02019\xa0(2019-05-21) (Cannes)', '30\xa0May\xa02019\xa0(2019-05-30) (South Korea)']"
CODA,['Sian Heder'],"['January\xa028,\xa02021\xa0(2021-01-28) (Sundance)', 'August\xa013,\xa02021\xa0(2021-08-13) (United States)']"
